epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,5827.14,1.81616,0.95606,1.78264,0.71346,0.77313,0.75449,0.28091,2.23053,1.03918,2.21818,0.000634,0.000634,0.000634
87,5894.67,1.82212,0.95357,1.7905,0.72344,0.76333,0.74949,0.27741,2.2376,1.04056,2.21773,0.0005944,0.0005944,0.0005944
88,5962.23,1.8093,0.94515,1.7866,0.71313,0.76022,0.75074,0.2797,2.23674,1.0414,2.21927,0.0005548,0.0005548,0.0005548
89,6029.74,1.81153,0.94017,1.7823,0.7136,0.77257,0.74995,0.27736,2.2459,1.03343,2.22618,0.0005152,0.0005152,0.0005152
90,6097.14,1.81024,0.93739,1.78448,0.7156,0.7652,0.75096,0.27858,2.24098,1.0336,2.22778,0.0004756,0.0004756,0.0004756
91,6178.7,1.79392,0.81785,1.83575,0.71593,0.75785,0.74586,0.27329,2.25593,1.03401,2.23188,0.000436,0.000436,0.000436
92,6245.09,1.77893,0.81302,1.82483,0.72406,0.75403,0.74658,0.27585,2.25072,1.03102,2.22689,0.0003964,0.0003964,0.0003964
93,6311.46,1.7771,0.80658,1.82258,0.71825,0.75524,0.74573,0.27464,2.25782,1.03733,2.23474,0.0003568,0.0003568,0.0003568
94,6377.85,1.77036,0.8074,1.81836,0.71624,0.75679,0.74301,0.27412,2.26069,1.03517,2.23093,0.0003172,0.0003172,0.0003172
95,6444.18,1.76403,0.80047,1.81497,0.71612,0.75647,0.74141,0.27441,2.26483,1.04088,2.24293,0.0002776,0.0002776,0.0002776
96,6510.58,1.76208,0.79094,1.81468,0.70559,0.76751,0.74135,0.27238,2.2651,1.03761,2.24192,0.000238,0.000238,0.000238
97,6576.95,1.7562,0.8015,1.81203,0.70731,0.76379,0.74252,0.27251,2.26197,1.04382,2.2417,0.0001984,0.0001984,0.0001984
98,6643.34,1.759,0.79199,1.81347,0.7165,0.75842,0.74324,0.27502,2.26443,1.03047,2.24814,0.0001588,0.0001588,0.0001588
99,6709.64,1.75078,0.79103,1.81567,0.71657,0.75976,0.74733,0.27511,2.26465,1.03003,2.24327,0.0001192,0.0001192,0.0001192
100,6776.03,1.75022,0.78541,1.80634,0.71478,0.75955,0.74332,0.27392,2.26816,1.0305,2.24828,7.96e-05,7.96e-05,7.96e-05
